,Time,Open,High,Low,Close,Volume
38,1583007360000,8660.11,8661.99,8654.1,8656.42,14.410483
39,1583007420000,8656.92,8658.11,8651.45,8651.67,17.510548
40,1583007480000,8651.67,8654.96,8650.0,8652.33,17.42718
41,1583007540000,8652.37,8653.76,8645.91,8646.27,21.220831
42,1583007600000,8645.95,8652.04,8644.06,8645.96,16.396864
43,1583007660000,8645.97,8652.44,8645.24,8649.74,9.072238
44,1583007720000,8651.07,8653.6,8649.77,8653.34,12.257307
45,1583007780000,8653.07,8653.07,8643.26,8645.21,15.979421
46,1583007840000,8645.18,8652.17,8644.61,8651.42,5.902042
47,1583007900000,8651.4,8652.17,8646.75,8647.01,7.715752
48,1583007960000,8646.79,8647.48,8640.0,8640.95,14.852468
49,1583008020000,8641.8,8647.95,8641.8,8646.23,5.781365
50,1583008080000,8646.29,8646.4,8643.62,8646.29,5.742628
51,1583008140000,8644.83,8647.83,8644.06,8646.49,10.697571
52,1583008200000,8646.76,8649.17,8640.14,8647.22,12.335951
53,1583008260000,8646.74,8649.84,8644.77,8648.65,5.740213
54,1583008320000,8648.5,8652.17,8645.0,8652.17,14.474233
55,1583008380000,8651.85,8652.17,8648.88,8651.26,11.002615
56,1583008440000,8652.01,8652.68,8649.09,8652.52,13.335719
57,1583008500000,8652.53,8657.4,8650.86,8655.59,15.778955
58,1583008560000,8654.82,8655.61,8651.07,8651.07,11.99217
59,1583008620000,8651.07,8651.11,8647.68,8649.41,8.428206
60,1583008680000,8649.37,8654.14,8646.89,8654.06,15.057304
61,1583008740000,8654.13,8654.17,8650.0,8651.78,9.697406
62,1583008800000,8651.78,8655.31,8648.83,8650.45,10.605935
63,1583008860000,8650.51,8656.26,8650.45,8653.49,4.800045
64,1583008920000,8654.53,8657.62,8651.85,8655.62,6.874626
65,1583008980000,8656.29,8660.56,8654.18,8658.11,17.176906
66,1583009040000,8659.18,8661.77,8655.77,8656.14,11.644075
67,1583009100000,8655.77,8660.89,8654.2,8659.18,6.272554
68,1583009160000,8659.28,8659.37,8653.5,8654.88,7.388763
69,1583009220000,8654.13,8657.36,8653.11,8653.72,13.911301
70,1583009280000,8653.88,8658.05,8649.07,8649.08,14.02704
71,1583009340000,8649.04,8649.74,8640.5,8640.93,26.729171
72,1583009400000,8641.77,8643.44,8640.16,8640.99,9.687575
73,1583009460000,8640.4,8646.41,8640.0,8644.47,10.746504
74,1583009520000,8644.44,8646.67,8644.0,8644.01,6.405498
75,1583009580000,8644.01,8646.43,8642.85,8645.0,14.656701
76,1583009640000,8645.35,8649.85,8645.35,8649.76,6.720304
77,1583009700000,8649.34,8651.41,8647.0,8648.55,10.200951
78,1583009760000,8650.76,8651.65,8648.7,8650.42,6.081815
79,1583009820000,8650.38,8654.9,8648.83,8652.91,17.343589
80,1583009880000,8652.91,8654.78,8652.03,8654.15,8.76841
81,1583009940000,8654.16,8654.99,8653.57,8654.96,5.6127
82,1583010000000,8654.95,8659.09,8653.63,8655.41,10.160396
83,1583010060000,8655.23,8656.44,8650.89,8651.74,12.811406
84,1583010120000,8652.24,8657.98,8651.93,8657.62,5.297388
85,1583010180000,8657.14,8658.0,8653.43,8653.92,6.881162
86,1583010240000,8653.08,8657.62,8651.64,8656.19,10.521304
87,1583010300000,8656.46,8657.99,8654.9,8656.06,8.023984
88,1583010360000,8655.52,8657.44,8655.19,8656.0,11.919242
89,1583010420000,8656.01,8657.83,8650.0,8656.75,12.240376
90,1583010480000,8657.18,8659.94,8657.18,8659.16,8.871253
91,1583010540000,8659.71,8660.0,8652.32,8653.88,9.874542
92,1583010600000,8653.44,8657.18,8652.23,8657.08,8.245249
93,1583010660000,8656.74,8663.22,8642.8,8645.28,36.139335
94,1583010720000,8645.3,8654.99,8642.15,8645.0,43.171318
95,1583010780000,8645.0,8648.93,8641.57,8641.7,6.670805
96,1583010840000,8641.7,8648.1,8640.0,8645.04,16.412277
97,1583010900000,8645.02,8647.03,8642.59,8642.59,11.41163
98,1583010960000,8642.59,8643.31,8642.0,8642.01,10.437583
99,1583011020000,8642.01,8642.01,8637.0,8637.01,9.958883
100,1583011080000,8637.01,8637.19,8632.65,8635.15,13.369823
101,1583011140000,8634.01,8635.06,8613.09,8625.3,77.320695
102,1583011200000,8627.44,8627.44,8612.0,8613.82,21.310467
103,1583011260000,8615.28,8619.19,8613.26,8618.78,15.482291
104,1583011320000,8618.78,8620.48,8617.38,8620.47,21.434448
105,1583011380000,8619.85,8632.0,8619.39,8626.48,31.035802
106,1583011440000,8626.86,8627.35,8625.18,8625.18,11.469007
107,1583011500000,8625.18,8625.81,8618.03,8624.95,8.805281
108,1583011560000,8625.44,8625.63,8612.0,8613.76,110.417581
109,1583011620000,8613.76,8617.5,8610.02,8614.91,18.122951
110,1583011680000,8614.78,8618.67,8612.02,8618.67,20.04319
111,1583011740000,8618.92,8622.3,8618.46,8619.76,5.065129
112,1583011800000,8619.98,8619.98,8615.38,8617.04,8.203821
113,1583011860000,8616.26,8617.16,8615.0,8615.44,9.179148
114,1583011920000,8616.33,8622.7,8615.48,8620.28,12.085656
115,1583011980000,8620.38,8623.66,8619.98,8622.61,7.052017
116,1583012040000,8622.63,8624.8,8622.62,8623.42,10.136824
