,Short-term MA (MA10),Short-term EMA (EMA10),Medium-term EMA (EMA20),Long-term EMA (EMA50)
92,9610.205999999998,9611.363862618558,9616.751919718114,9624.667125483222
93,9609.200999999997,9611.604978507643,9616.365038466856,9624.18624316192
94,9608.436999999998,9612.140436963613,9616.19216482277,9623.799708577337
95,9607.607999999998,9612.322175698284,9615.901462926942,9623.372503311515
96,9607.465,9611.589052841471,9615.17651762683,9622.768567267702
97,9608.422999999999,9609.896497774513,9613.948210296048,9621.948838220464
98,9608.46,9608.460770903037,9612.810228877914,9621.15133599003
99,9609.31,9609.20608528574,9612.78639648321,9620.808138320974
100,9610.094,9610.157706144379,9612.943888947842,9620.553936506562
101,9611.065999999999,9610.769032300734,9612.998758689333,9620.273354509382
102,9609.776999999998,9609.592844608449,9612.170277854953,9619.636610535394
103,9608.105,9607.11596376841,9610.627347700318,9618.693801374457
104,9605.760999999999,9604.205788535734,9608.768501941819,9617.59562510853
105,9603.814999999999,9602.292008800858,9607.331466267047,9616.644055379236
106,9602.073999999999,9600.217098108811,9605.764624945603,9615.619526147319
107,9601.695,9599.903080270724,9605.071789515534,9614.938730739394
108,9600.333999999999,9597.809792948112,9603.483018596575,9613.884135855153
109,9597.61,9595.538921502413,9601.753178674413,9612.750058378082
110,9593.787,9592.024572137594,9599.320458566088,9611.300020479704
111,9588.679999999998,9586.647377202553,9595.808938751232,9609.36238651245
112,9586.057999999999,9585.089672256414,9594.120447698499,9608.122129204508
113,9583.722999999998,9582.82245911862,9592.072763305187,9606.71517818803
114,9582.521999999999,9582.145648369717,9590.837249641707,9605.621240687537
115,9580.016999999998,9579.68825775685,9588.722254285896,9604.156466200004
116,9578.228999999998,9578.47221089189,9587.22488443662,9602.923207713642
117,9574.901999999998,9576.062718002331,9585.129165583623,9601.431358818705
118,9572.269999999997,9573.518587456345,9582.933039810448,9599.874448699169
119,9571.838999999996,9574.88066246433,9582.74989204775,9599.128531616792
120,9572.217999999997,9575.811451107205,9582.487996125627,9598.372418351448
121,9573.465999999997,9575.651187269528,9581.7681833865,9597.446074962781
122,9574.497999999996,9577.969153220567,9582.39978781428,9597.088720257218
123,9575.388999999996,9578.616579907746,9582.316950541926,9596.474268105681
124,9575.658999999996,9579.195383560891,9582.267716975408,9595.894905499037
125,9576.157999999994,9578.1816774589,9581.444122134388,9595.015691809576
126,9576.087999999994,9577.112281557274,9580.57325073056,9594.119308720854
127,9577.687999999995,9577.859139455957,9580.634846067322,9593.61041438861
128,9579.980999999994,9579.1574777367,9581.050576040685,9593.270802471037
129,9580.360999999994,9580.185209057305,9581.408617218322,9592.93716705037
130,9580.480999999994,9580.369716501431,9581.388748871621,9592.474435104776
131,9580.956999999995,9580.246131682989,9581.226962968678,9591.970520363935
132,9580.993999999995,9581.79592592245,9581.945348637506,9591.844393089421
133,9582.268999999997,9584.065757572918,9583.120079098788,9591.940357885043
